"my name is Agniva Chakravarty, what is your name?",en,"my name is Agniva Chakravarty, what is your name?",My name is talkBot.,2025-07-29 14:23:57
What do you know about machine learning,en,What do you know about machine learning,My purpose is to assist you,2025-07-29 14:24:20
What do you know about machine learning,en,What do you know about machine learning,I can answer questions and provide assistance,2025-07-29 14:26:10
How are you?,en,How are you?,I am a chatbot,2025-07-29 14:28:06
How are you?,en,How are you?,My purpose is to assist you,2025-07-29 16:36:32
How are you,en,How are you,My purpose is to assist you,2025-07-29 16:39:30
what are you?,en,what are you?,I can answer questions and provide assistance,2025-07-29 16:44:00
তোমার নাম কি,bn,What is your name,আপনি আমাকে টকবোট বলতে পারেন।,2025-07-29 16:57:26
তোমার কি কাজ,bn,What is your work,আমি একটি চ্যাটবট,2025-07-29 16:58:15
তোমার নাম কি,bn,What is your name,আপনি আমাকে টকবোট বলতে পারেন।,2025-07-29 17:07:00
